duplicate_type,fingerprint,source_file,keep_file,size_bytes,review_status,reason
same_name_different_content,4.mp3,/Users/shidianjin/Documents/高考英语/2019年/4.mp3,,186417,review_required,normalized basename repeats but file content differs
same_name_different_content,4.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/4.mp3,,270845,review_required,normalized basename repeats but file content differs
same_name_different_content,4.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/4.mp3,,206233,review_required,normalized basename repeats but file content differs
same_name_different_content,5.mp3,/Users/shidianjin/Documents/高考英语/2019年/5.mp3,,155906,review_required,normalized basename repeats but file content differs
same_name_different_content,5.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/5.mp3,,167191,review_required,normalized basename repeats but file content differs
same_name_different_content,5.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/5.mp3,,178647,review_required,normalized basename repeats but file content differs
same_name_different_content,6.mp3,/Users/shidianjin/Documents/高考英语/2019年/6.mp3,,599151,review_required,normalized basename repeats but file content differs
same_name_different_content,6.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/6.mp3,,574956,review_required,normalized basename repeats but file content differs
same_name_different_content,6.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/6.mp3,,575291,review_required,normalized basename repeats but file content differs
same_name_different_content,7.mp3,/Users/shidianjin/Documents/高考英语/2019年/7.mp3,,1014812,review_required,normalized basename repeats but file content differs
same_name_different_content,7.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/7.mp3,,854153,review_required,normalized basename repeats but file content differs
same_name_different_content,7.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/7.mp3,,844038,review_required,normalized basename repeats but file content differs
same_name_different_content,8.mp3,/Users/shidianjin/Documents/高考英语/2019年/8.mp3,,1365898,review_required,normalized basename repeats but file content differs
same_name_different_content,8.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/8.mp3,,960736,review_required,normalized basename repeats but file content differs
same_name_different_content,8.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2020年/2020年高考全国1英语高考真题-全国高考真题解析/附件/8.mp3,,1017074,review_required,normalized basename repeats but file content differs
same_name_different_content,9.mp3,/Users/shidianjin/Documents/高考英语/2019年/9.mp3,,1435697,review_required,normalized basename repeats but file content differs
same_name_different_content,9.mp3,/Users/shidianjin/Documents/高考英语/高考英语_副本/2018年/9.mp3,,4084105,review_required,normalized basename repeats but file content differs
